Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1uF,C15849
"C10, C9",0603,2,10uF,C19702
"C11, C13, C4",0603,3,0.1uF,C14663
"C12, C14, C7, C8",0805,4,100nF,C28233
"C15, C2, C5",0805,3,1uF,C6119928
C3,CP_Radial_D10.0mm_P5.00mm,1,100uF,C2887235
C6,1210,1,4.7uF,C381466
D1,D_SMA,1,SS34,C8678
D2,D_SMA,1,SS210,C14996
D3,D_SMA,1,SMAJ60A,C42394398
F1,Fuse_8.5x4.0,1,T3.15,C354904
"IC1, IC2",SOT65P280X110-8N,2,LM74502DDFR,C3236215
J1,TerminalBlock_Wuerth_691311400102_P7.62mm,1,AC-IN,C475104
"J2, J3",TerminalBlock_RND_205-00003_1x04_P5.00mm_Horizontal,2,M12 Conn,C3034542
J4,TerminalBlock_RND_205-00003_1x04_P5.00mm_Horizontal,1,Buttons,C3034542
L1,HPC8040NF,1,33uH,C357084
PS3,Converter_ACDC_MeanWell_IRM-60-xx_THT,1,IRM-60-48,C5656542
"Q1, Q2",TO-220-3_Vertical,2,IRFB3306PBF,C2643
R1,0402,1,100k,C25741
"R10, R3, R4, R9",0402,4,10R,C25077
"R11, R5",0402,2,120R,C25079
R2,0402,1,19.1k,C52036
RV1,RV_Disc_D15.5mm_W5.9mm_P7.5mm,1,S14K350,C83535
TP1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,+5V,
TP3,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,+48V,
"U1, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,MAX3485EESA+T,C9943
"U2,U2_2",XIAO-ESP32C6-DIP,1,XIAO-ESP32-C6,C25503116
U3,SOT-23-6,1,LMR51610XDBVR,C20539658
