Designator,Mid X,Mid Y,Rotation,Layer
C1,62,-37.275,90,top
C10,96,-79.5,0,top
C11,53,-60,90,top
C12,56.5,-58,90,top
C13,62,-33.5,90,top
C14,36,-58,90,top
C15,39.55,-62,180,top
C2,101,-93,90,top
C3,93.5,-99.632323,270,top
C4,74.5,-59,270,top
C5,60.05,-62,180,top
C6,101.5,-87.5,270,top
C7,97,-87.55,270,top
C8,100.5,-77.5,0,top
C9,96,-76.5,0,top
D1,91,-69.5,270,top
D2,89,-86.5,270,top
D3,101,-99,270,top
F1,169,-37,90,top
IC1,60,-57.5,180,top
IC2,39.325,-57.75,180,top
J1,165,-52.1675,0,top
J2,69,-78,0,top
J3,42.5,-78,0,top
J4,97.1325,-52.5,270,top
L1,98.5,-69.5,180,top
PS3,130.2575,-61.175,90,top
Q1,60,-66,270,top
Q2,39.5,-66,270,top
R1,95,-82.5,270,top
R10,48.5,-62.4175,270,top
R11,49.135,-64.4175,0,top
R2,96.5,-82.5,90,top
R3,71.135,-62.5,270,top
R4,69.865,-62.5,270,top
R5,70.5,-64.5,0,top
R9,49.77,-62.4175,270,top
RV1,161.5,-38,270,top
U1,70.5,-56,180,top
U2,81.075,-30.1815,270,top
U3,100.5,-82,180,top
U4,49.135,-56.4175,180,top
U2_2,65.835,-30.1815,270,top
